moves,evals,white_elo,black_elo
"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'Bb4', 'Bd3', 'Nc6', 'Nf3', 'd5', 'exd5', 'Nxd5', 'Bd2', 'Nxc3', 'Bxc3', 'Bxc3+', 'bxc3', 'O-O', 'O-O', 'f6', 'Bc4', 'Kh8', 'Re1', 'e5', 'dxe5', 'Qxd1', 'Raxd1', 'fxe5', 'Bd5', 'Ne7', 'Nxe5', 'Nxd5', 'Rxd5', 'Be6', 'Rdd1', 'Bxa2', 'Nd7', 'Rfd8', 'Ne5', 'Rxd1', 'Rxd1', 'Re8', 'f4', 'g5', 'g3', 'gxf4', 'gxf4', 'Be6', 'Kf2', 'Rf8', 'Ke3', 'Bf5', 'Rd2', 'Rg8', 'Nf7+', 'Kg7', 'Ng5', 'Kf6', 'Rg2', 'h6', 'Ne4+', 'Kf7', 'Rxg8', 'Kxg8', 'Nc5', 'b6', 'Nd3', 'Kf7', 'Kd4', 'Ke6', 'c4', 'Bxd3', 'cxd3', 'Kd6', 'h4', 'c5+', 'Ke4', 'Kc6', 'f5', 'b5', 'cxb5+', 'Kxb5', 'f6', 'a5', 'f7', 'a4', 'f8=Q', 'a3', 'Qb8+', 'Ka4', 'Qa8+', 'Kb3', 'Qa5', 'a2', 'Qxc5', 'a1=Q', 'Qb5+', 'Kc2', 'Qc5+', 'Kd2', 'Qb4+', 'Qc3', 'Qxc3+', 'Kxc3', 'd4', 'Kb4', 'Ke5', 'Kb5', 'd5', 'Kb6', 'Ke6', 'Kc7', 'd6+', 'Kd8', 'Kf6', 'Kd7', 'Kg6', 'Kxd6', 'Kxh6', 'Ke7', 'Kg6', 'Ke6', 'h5', 'Ke7', 'Kg7']","[31, 23, -22, 96, 68, 133, 89, 131, 34, 68, 36, 87, 64, 119, 30, 41, 37, 102, 33, 115, 49, 53, 74, 159, 102, 153, 166, 180, 110, 166, 99, 107, 83, 98, 76, 112, -198, -116, -148, -118, -112, -23, -54, -8, -108, -118, -126, -64, -144, -68, -75, 25, -184, -12, -112, -113, -170, -107, -271, -144, -181, -164, -171, -157, -174, -163, -227, -229, -275, -244, -265, -276, -301, -238, -286, -284, -323, 36, -255, 448, 585, 662, 636, 639, 679, 685, 683, 665, 634, 574, 500, 567, 622, 634, 528, 600, 686, 695, 637, 733, 190, 723, 703, 712, 660, 698, 685, 710, 705, 718, 706, 713, 678, 692, 512, 523, 518, 514, 542, 516, 10, 541, 545, 532, 518]",1358,1279
"['e4', 'c6', 'Nf3', 'd5', 'Nc3', 'e6', 'g3', 'Bb4', 'Qe2', 'Bd7', 'Bg2', 'Ne7', 'O-O', 'O-O', 'd4', 'Ng6', 'e5', 'c5', 'h4', 'a6', 'Rd1', 'cxd4', 'Nxd4', 'Nc6', 'Bg5', 'Qc7', 'Nf3', 'Ncxe5', 'h5', 'Nxf3+', 'Bxf3', 'Ne5', 'Bg2', 'Bxc3', 'bxc3', 'Bb5', 'Qe3', 'f6', 'Bf4', 'Rac8', 'Re1', 'Qxc3', 'Bxe5', 'fxe5', 'Qxe5', 'Qxe5', 'Rxe5', 'Rxc2', 'f4', 'Bd7', 'Rb1', 'b5', 'a4', 'Rb8', 'axb5', 'Rxb5', 'Rxb5', 'axb5', 'Bh3', 'Kf7', 'f5', 'exf5', 'Rxd5', 'Rc1+', 'Kf2', 'b4', 'Rxd7+', 'Ke6', 'Rb7', 'Rc2+', 'Ke3', 'Rc3+', 'Kf4', 'Rc4+', 'Kg5', 'Rc3', 'Bxf5+', 'Ke5', 'Rb5+', 'Kd6', 'g4', 'b3', 'Rb7', 'g6', 'hxg6', 'hxg6', 'Kxg6', 'Kc6', 'Rb8', 'Kc7', 'Rc8+', 'Kd6', 'Rxc3', 'b2', 'Rb3', 'b1=Q', 'Bxb1']","[34, 49, 47, 44, 32, 86, 37, 47, 39, 193, 83, 91, 74, 86, 77, 122, 69, 54, 3, 100, 40, 46, 19, 94, -90, -151, -165, -185, -204, -173, -183, -210, -225, -219, -222, -156, -244, -115, -168, -120, -212, -205, -210, -215, -200, -124, -151, -121, -243, -214, -253, -215, -351, -139, -203, -266, -257, -281, -314, -371, -381, -341, -353, -340, -369, 53, 40, 167, 70, 131, 124, 166, 164, 364, 316, 423, 447, 450, 462, 479, 443, 421, 416, 382, 395, 379, 404, 412, 425, 657, 663, 701, 721, 710, 711, 717, 734]",1873,1764
"['d4', 'd5', 'e3', 'Nf6', 'Bd3', 'e6', 'f4', 'c5', 'Ne2']","[21, 25, 11, 12, -19, 21, -52, -43, -429]",1172,1154
"['d4', 'd5', 'c4', 'e6', 'cxd5', 'exd5', 'Nc3', 'c6', 'Bf4', 'Nf6', 'e3', 'Bd6', 'Bxd6', 'Qxd6', 'Nf3', 'O-O', 'h3', 'Re8', 'Bd3', 'Ne4', 'O-O', 'Bf5', 'Nh4', 'Bg6', 'Nxg6', 'hxg6', 'Nxe4', 'dxe4', 'Be2', 'Nd7', 'Qb3', 'Rab8', 'Rfc1', 'Nf6', 'Rc5', 'Nd5', 'Rac1', 'Kh8', 'Qd1', 'f5', 'a3', 'f4', 'Qd2', 'Rf8', 'Bg4', 'Rf6', 'exf4', 'Rxf4', 'b4', 'Rbf8', 'b5', 'cxb5', 'Rc8', 'Kh7', 'Rxf8', 'Rxf8', 'Qg5', 'Nf6', 'Qh4+', 'Kg8', 'Be2', 'a6', 'Bd1', 'Kf7', 'Bb3+', 'Ke7', 'Qg5', 'Qxd4', 'Rc7+', 'Kd8', 'Rxb7', 'Kc8', 'Rxg7', 'Nd7', 'Rxg6', 'Rxf2', 'Rg8+', 'Rf8+', 'Kh2', 'Qd6+', 'g3', 'Rxg8', 'Qxg8+', 'Kc7', 'Qg5', 'Qd4', 'Qf4+', 'Kb7', 'h4', 'Qb2+', 'Kh3', 'Qxb3', 'Qxe4+', 'Kc7', 'Qf4+', 'Kc8', 'h5', 'Qe6+', 'g4', 'Ne5']","[11, 20, 28, 30, 27, 26, 29, 16, -36, 31, 13, 33, 25, 25, 17, 18, 23, 34, 44, 60, 29, 100, 30, 155, 79, 89, 76, 78, 45, 43, 46, 43, 39, 44, 37, 67, 32, 101, -43, -35, -68, -82, -64, -1, -119, -104, -101, -101, -251, -256, -284, -24, -80, -50, -59, -56, -70, -55, -91, -75, -156, -135, -178, 121, 113, 137, 139, 302, 200, 182, 42, 76, 33, 35, 8, 22, -118, -8, -92, 15, -59, -36, -88, -62, -70, -34, -54, 0, -226, -196, -195, -157, -166, -169, -161, -92, -186, -136, -211, -143]",2030,2015
"['e4', 'c5', 'f4', 'd6', 'g4', 'Nf6', 'd3', 'a6', 'h3', 'e6', 'Be3', 'Be7', 'g5', 'Nfd7', 'Nd2', 'Nc6', 'a3', 'e5', 'f5', 'O-O', 'h4', 'Nd4', 'Qg4', 'Nb6', 'h5', 'Nxc2+', 'Ke2', 'Nxe3', 'Kxe3', 'd5', 'g6', 'dxe4', 'gxh7+', 'Kh8', 'Nxe4', 'Nd5+', 'Kf3', 'Nf6', 'Nxf6', 'Bxf6', 'Rc1', 'Qd5+', 'Qe4', 'Qxe4+', 'dxe4', 'b6', 'h6', 'Kxh7', 'hxg7+', 'Kxg7', 'Rc2', 'Rh8', 'Rg2+', 'Kf8', 'Rxh8+', 'Bxh8', 'Nh3', 'f6', 'Bc4', 'Bb7', 'Rg8+', 'Ke7', 'Rxa8', 'Bxa8', 'Nf2', 'b5', 'Ba2', 'c4', 'a4', 'Kd6', 'axb5', 'axb5', 'Nd1', 'Kc5', 'Ne3', 'Kd4', 'Bb1', 'b4', 'Nc2+', 'Kc5', 'Ne3', 'c3', 'bxc3', 'bxc3', 'Nd1', 'Kb4', 'Bc2', 'Bc6', 'Ne3', 'Ba4', 'Bxa4', 'Kxa4', 'Ke2', 'Bg7', 'Kd1', 'Bf8', 'Kc2', 'Kb5', 'Kxc3', 'Bc5', 'Nd5', 'Bd4+', 'Kd3', 'Kc5', 'Nxf6', 'Kd6', 'Ne8+', 'Ke7', 'Ng7', 'Kf6', 'Nh5+', 'Kg5', 'Ng3', 'Kf4', 'Ne2+', 'Kf3', 'Nxd4+', 'exd4', 'Kxd4', 'Kf4']","[30, 35, 3, 25, -100, 25, -213, 22, 7, 17, 10, 37, 33, 16, -21, 9, -38, -21, -115, 81, 129, 245, -264, 95, -377, -395, -420, -402, -409, -211, -335, -252, -319, -315, -322, -340, -403, -283, -258, -269, -360, -292, -270, -35, -99, -67, -229, 42, 44, 59, -26, 17, -27, -10, -14, -9, -56, 5, 13, 22, 1, 16, 2, 0, -100, -115, -159, -118, -135, -139, -155, -183, -318, -335, -274, -317, -370, -289, -329, -315, -355, -86, -145, -151, -234, -175, -173, -120, -160, 0, -22, -4, -1, 0, -372, 13, 11, 18, 0, 160, 171, 174, 153, 171, 159, 170, 150, 131, 130, 217, 138, 205, 159, 546, 553, 627, 636, 764, 743, 779]",1577,1228
